"","METHOD","TEST_RMSPE","Time"
"1","rf",0.206103284961473,39.9674558639526
"2","rfRules",NA,0.296402215957642
"3","rknn",NA,80.324914932251
"4","rknnBel",NA,3.7908239364624
"5","rpart",0.183422465748378,1.59121012687683
"6","rpart2",0.169804638855626,1.46640992164612
"7","RRF",NA,716.153789997101
"8","RRFglobal",0.208288824617427,111.774717092514
"9","simpls",0.35236946564178,1.15440702438354
"10","spls",0.216875187803853,2.71441793441772
"11","svmBoundrangeString",NA,1.27920794487
"12","svmExpoString",NA,0.577203989028931
"13","svmLinear",0.194161683870146,2.01241302490234
"14","svmLinear2",NA,0.280802011489868
"15","svmPoly",0.183560984003277,25.9897661209106
"16","svmRadial",0.220909324628901,4.6488299369812
"17","svmRadialCost",0.233130412360405,4.6644299030304
"18","svmSpectrumString",NA,0.577203989028931
"19","treebag",0.167341990316349,8.95445680618286
"20","widekernelpls",0.352369465641778,37.3778400421143
"21","xgbLinear",NA,0.296401977539062
"22","xgbTree",NA,0.296401023864746
"23","xyf",0.352037838814625,13.4628870487213
"24","ANFIS",NA,NA
"25","brnn",NA,NA
"26","cubist",NA,NA
"27","DENFIS",NA,NA
"28","enet",NA,NA
"29","enpls",NA,NA
"30","enpls.fs",NA,NA
"31","FIR.DM",NA,NA
"32","foba",NA,NA
"33","FS.HGD",NA,NA
"34","GFS.FR.MOGUL",NA,NA
"35","GFS.LT.RS",NA,NA
"36","GFS.THRIFT",NA,NA
"37","HYFIS",NA,NA
"38","icr",NA,NA
"39","krlsPoly",NA,NA
"40","krlsRadial",NA,NA
"41","lars",NA,NA
"42","lars2",NA,NA
"43","lasso",NA,NA
"44","leapBackward",NA,NA
"45","leapForward",NA,NA
"46","leapSeq",NA,NA
"47","lm",NA,NA
"48","lmStepAIC",NA,NA
"49","M5",NA,NA
"50","M5Rules",NA,NA
"51","neuralnet",NA,NA
"52","nnls",NA,NA
"53","pcr",NA,NA
"54","penalized",NA,NA
"55","ppr",NA,NA
"56","pythonKnnReg",NA,NA
"57","qrf",NA,NA
"58","qrnn",NA,NA
"59","relaxo",NA,NA
"60","ridge",NA,NA
"61","rlm",NA,NA
"62","rqlasso",NA,NA
"63","rqnc",NA,NA
"64","rvmLinear",NA,NA
"65","rvmPoly",NA,NA
"66","rvmRadial",NA,NA
"67","SBC",NA,NA
"68","superpc",NA,NA
"69","WM",NA,NA
