"","METHOD","TEST_RMSPE","Time"
"1","mlpWeightDecay",0.327882295414219,117.44774389267
"2","nnet",0.999784709128985,3.00330018997192
"3","nodeHarvest",NA,217.065587043762
"4","parRF",NA,1.04520678520203
"5","partDSA",0.183422465748378,16.8013081550598
"6","pcaNNet",0.999784709128985,3.68162298202515
"7","pls",0.352369465641776,1.29480910301208
"8","plsRglm",0.195761423589365,20.0617280006409
"9","ranger",NA,0.280802011489868
"10","rbf",NA,0.608403921127319
"11","rbfDDA",NA,NA
"12","rf",NA,NA
"13","rfRules",NA,NA
"14","rknn",NA,NA
"15","rknnBel",NA,NA
"16","rpart",NA,NA
"17","rpart2",NA,NA
"18","RRF",NA,NA
"19","RRFglobal",NA,NA
"20","simpls",NA,NA
"21","spls",NA,NA
"22","svmBoundrangeString",NA,NA
"23","svmExpoString",NA,NA
"24","svmLinear",NA,NA
"25","svmLinear2",NA,NA
"26","svmPoly",NA,NA
"27","svmRadial",NA,NA
"28","svmRadialCost",NA,NA
"29","svmSpectrumString",NA,NA
"30","treebag",NA,NA
"31","widekernelpls",NA,NA
"32","xgbLinear",NA,NA
"33","xgbTree",NA,NA
"34","xyf",NA,NA
"35","ANFIS",NA,NA
"36","brnn",NA,NA
"37","cubist",NA,NA
"38","DENFIS",NA,NA
"39","enet",NA,NA
"40","enpls",NA,NA
"41","enpls.fs",NA,NA
"42","FIR.DM",NA,NA
"43","foba",NA,NA
"44","FS.HGD",NA,NA
"45","GFS.FR.MOGUL",NA,NA
"46","GFS.LT.RS",NA,NA
"47","GFS.THRIFT",NA,NA
"48","HYFIS",NA,NA
"49","icr",NA,NA
"50","krlsPoly",NA,NA
"51","krlsRadial",NA,NA
"52","lars",NA,NA
"53","lars2",NA,NA
"54","lasso",NA,NA
"55","leapBackward",NA,NA
"56","leapForward",NA,NA
"57","leapSeq",NA,NA
"58","lm",NA,NA
"59","lmStepAIC",NA,NA
"60","M5",NA,NA
"61","M5Rules",NA,NA
"62","neuralnet",NA,NA
"63","nnls",NA,NA
"64","pcr",NA,NA
"65","penalized",NA,NA
"66","ppr",NA,NA
"67","pythonKnnReg",NA,NA
"68","qrf",NA,NA
"69","qrnn",NA,NA
"70","relaxo",NA,NA
"71","ridge",NA,NA
"72","rlm",NA,NA
"73","rqlasso",NA,NA
"74","rqnc",NA,NA
"75","rvmLinear",NA,NA
"76","rvmPoly",NA,NA
"77","rvmRadial",NA,NA
"78","SBC",NA,NA
"79","superpc",NA,NA
"80","WM",NA,NA
